Priority,Women / Men,Product,Internet Name,Brand,ASIN,Safety Toe,Sole Features,Special Characteristics,Leather,Sole Material,Rubber Shield,Weight (lbs),Titulo Producto 1,Product 1,ASIN 1,Titulo Producto 2,Product 2,ASIN 2,Titulo Product 3,Product 3,ASIN 3,Titile Product 4,Product 4,ASIN 4
Priority 1,Men,TRC3P - Soft Toe,TRC3P,Toro Bravo,,Soft Toe,Wedge Sole,Heavy Duty,Yes,3 Layers Sole,No,4.5,"TORO BRAVO Men's TLC1 Soft Toe Cowboy 8"" Work Boots",TLC1,,"TORO BRAVO Men's TRC1 Soft Toe Cowboy 10"" Pull On Work Boots",TRC1,,"TORO BRAVO Women's TLC1WN Steel Toe Cowgirl 8"" Work Boots",TRC1,#REF!,"TORO BRAVO Men's TRC3P Steel Toe Cowboy 10"" Pull On Work Boots",TRC3P,B088WQ58BN
Priority 1,Men,TRC3P - Steel Toe,TRC3P,Toro Bravo,,Steel Toe,Wedge Sole,Heavy Duty,Yes,3 Layers Sole,No,5,"TORO BRAVO Men's TLC1 Soft Toe Cowboy 8"" Work Boots",TLC1,,"TORO BRAVO Men's TRC1 Soft Toe Cowboy 10"" Pull On Work Boots",TRC1,,"TORO BRAVO Women's TLC1WN Steel Toe Cowgirl 8"" Work Boots",TRC1,#REF!,"TORO BRAVO Men's TRC3P Soft Toe Cowboy 10"" Pull On Work Boots",TRC3P,B088WPT92H
Priority 1,Men,Rodeo - Composite Toe,Rodeo,CEBU,,Composite Toe,3-Layer Sole,Wedge Sole,Yes,HULE & PU,No,4.5,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's Rodeo Composite Toe Cowboy 10"" Pull On Work Boots",Rodeo,B00R0UX0DC,"CEBU Men's Rul 500 Soft Toe Wedge Sole 10"" Pull On Work Boots",Rul 500,
Priority 1,Men,Rodeo - Composite Toe,Rodeo,CEBU,,Composite Toe,Versatile,Wedge Sole,Yes,HULE & PU,No,4.5,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's Rodeo Composite Toe Cowboy 10"" Pull On Work Boots",Rodeo,B00R0UX0DC,"CEBU Men's Rul 500 Soft Toe Wedge Sole 10"" Pull On Work Boots",Rul 500,
Priority 3,Men,Botin - Soft Toe,Botin,CEBU,,Soft Toe,Versatile,Slip On,Yes,Polyurethane,No,4,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's Botin Composite Toe Versatile 6"" Slip On Work Boots",Botin,B0877C9TFQ,"CEBU Men's BT Flex Steel Toe Lightweight 6"" Slip On Work Boots",BT Flex,B088W497Y3
Priority 3,Men,BT Flex Shrk - Steel Toe,BT Flex Shrk,CEBU,,Steel Toe,Versatile,Slip On,Yes,Rubber-like & PU,Yes,2.6,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's BT Flex Shrk Soft Toe Rubber Shield 6"" Slip On Work Boots",BT Flex Shrk,B07G9Q3JVG,"CEBU Men's BorceShark Soft Toe Versatile 6"" Work Boots",BorceShark,
Priority 2,Men,Comfort - Soft Toe,Comfort,CEBU,,Soft Toe,Versatile,Steel Toe,Yes,Polyurethane,No,3.5,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's Rul 500 Soft Toe Wedge Sole 10"" Pull On Work Boots",Rul 500,,"CEBU Men's SW Soft Toe Wedge Sole 10"" Pull On Work Boots",SW,
Priority 2,Men,Comfort - Steel Toe,Comfort,CEBU,,Steel Toe,Versatile,Steel Toe,Yes,Polyurethane,No,4,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's Rul 500 Soft Toe Wedge Sole 10"" Pull On Work Boots",Rul 500,,"CEBU Men's SW Soft Toe Wedge Sole 10"" Pull On Work Boots",SW,
Priority 4,Men,Max - Soft Toe,Max,CEBU,,Soft Toe,3-Layer Sole,Soft Toe,Yes,Polyurethane,No,4,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's BrdShark Steel Toe Versatile 10"" Pull On Work Boots",Max,B071SDF8P5,"CEBU Men's Rul 500 Soft Toe Wedge Sole 10"" Pull On Work Boots",Rul 500,
,Men,SW - Soft Toe,SW,CEBU,,Soft Toe,Wedge Sole,Heavy Duty,Yes,Rubber-like & PU,No,4,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's Rul 500 Soft Toe Wedge Sole 10"" Pull On Work Boots",Rul 500,,"CEBU Men's B 200 Soft Toe Wedge Sole 6"" Work Boots",BW,
Priority 2,Men,Tk Lacer - Steel Toe,Tk Lacer,CEBU,,Steel Toe,3-Layer Sole,Heavy Duty,Yes,HULE,Yes,4.5,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's Tk Lacer Steel Toe Heavy Duty 8"" Work Boots",Tk Lacer,,"CEBU Men's Ranger Soft Toe Square Toe 10"" Pull On Work Boots",Ranger,
,Men,Tractor - Soft Toe,Tractor,CEBU,,Soft Toe,Versatile,Heavy Duty,Yes,HULE,No,4.5,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's Tk Lacer Steel Toe Heavy Duty 8"" Work Boots",Tk Lacer,,"CEBU Men's Tk Farmer Steel Toe Cowboy 10"" Pull On Work Boots",Tk Farmer,
Priority 2,Men,Tractor - Steel Toe,Tractor,CEBU,,Steel Toe,Versatile,Heavy Duty,Yes,HULE,No,5,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's Tk Lacer Steel Toe Heavy Duty 8"" Work Boots",Tk Lacer,,"CEBU Men's Tk Farmer Steel Toe Cowboy 10"" Pull On Work Boots",Tk Farmer,
Priority 2,Men,PR Rayas - Steel Toe,PR Rayas,Pradera,,Steel Toe,Non Slip,Soft Toe,Yes,HULE,No,4.5,"PRADERA Men's PR Track Soft Toe Cowboy 10"" Pull On Work Boots Chocolate",PR Track,B08835NX3B,"PRADERA Men's PR Track Steel Toe Cowboy 10"" Pull On Work Boots",PR Track,,"PRADERA Men's Dakota Lightweight Flexible 12"" Cowboy Boots",Dakota,,"PRADERA Men's PR Track Steel Toe Cowboy 10"" Pull On Work Boots",PR Track,
Priority 2,Men,PR Track - Steel Toe,PR Track,Pradera,,Steel Toe,Non Slip,Square Toe,Yes,Polyurethane,No,4.5,"PRADERA Men's PR Track Soft Toe Cowboy 10"" Pull On Work Boots",PR Track,B08835NX3B,"PRADERA Men's PR Track Steel Toe Cowboy 10"" Pull On Work Boots",PR Track,,"PRADERA Men's PR Rayas Steel Toe Cowboy 10"" Pull On Work Boots",PR Rayas,,"PRADERA Men's PR Track Steel Toe Cowboy 10"" Pull On Work Boots",PR Track,
Priority 2,Men,TLC1 - Soft Toe,TLC1,Toro Bravo,,Soft Toe,Wedge Sole,Heavy Duty,Yes,3 Layers Sole,No,4,"TORO BRAVO Women's TRC1WN Soft Toe Cowgirl 10"" Pull On Work Boots",TRC3P,#REF!,"TORO BRAVO Men's TRC1 Soft Toe Cowboy 10"" Pull On Work Boots",TRC1,,"TORO BRAVO Women's TLC1WN Steel Toe Cowgirl 8"" Work Boots",Tractor,#REF!,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,
Priority 3,Men,BT Flex - Steel Toe,BT Flex,CEBU,,Steel Toe,Heavy Duty,Soft Toe,Yes,Rubber-like & PU,No,2.6,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"FORTAL Women's FTP Non Slip 4"" Work Shoes",BT Flex,B088WH3QZL,"CEBU Men's Thunder 300 Soft Toe Square Toe 10"" Pull On Work Boots",Botin,
Priority 3,Men,BT Flex Shrk - Soft Toe,BT Flex Shrk,CEBU,,Soft Toe,Lightweight,Slip On,Yes,Rubber-like & PU,No,2.6,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's SW Soft Toe Wedge Sole 10"" Pull On Work Boots",BT Flex Shrk,B088WQ5K12,"CEBU Men's BorceShark Soft Toe Versatile 6"" Work Boots",BorceShark,
Priority 3,Men,HL100 - Soft Toe,HL100,CEBU,,Soft Toe,Non Slip,Steel Toe,Yes,HULE,No,4.5,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's BrdShark Steel Toe Versatile 10"" Pull On Work Boots",BrdShark,,"CEBU Men's Farmer Steel Toe Cowboy 10"" Pull On Work Boots",Farmer,
Priority 3,Men,HL200 - Steel Toe,HL200,CEBU,,Steel Toe,Non Slip,Steel Toe,Yes,HULE,No,4.3,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's HL100 Breathable Heavy Duty 10"" Pull On Work Boots",HL200,B08YRFK3VV,"CEBU Men's BrdShark Steel Toe Versatile 10"" Pull On Work Boots",BrdShark,
Priority 3,Men,Thunder 300 - Soft Toe,Thunder 300,CEBU,,Soft Toe,Non Slip,Heavy Duty,Yes,HULE & EVA,No,4.5,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's Tk Lacer Steel Toe Heavy Duty 8"" Work Boots",Tk Lacer,,"CEBU Men's Guardax Soft Toe Versatile 10"" Pull On Work Boots",Tk Guardax,
Priority 3,Men,Thunder 300 - Steel Toe,Thunder 300,CEBU,,Steel Toe,Non Slip,Heavy Duty,Yes,HULE & EVA,No,5,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's Tk Lacer Steel Toe Heavy Duty 8"" Work Boots",Tk Lacer,,"CEBU Men's Guardax Soft Toe Versatile 10"" Pull On Work Boots",Tk Guardax,
Priority 3,Men,Ultra 300 - Soft Toe,Ultra 300,CEBU,,Soft Toe,Versatile,Heavy Duty,Yes,EVA HULADA,No,3,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's Tk Lacer Steel Toe Heavy Duty 8"" Work Boots",Tk Lacer,,"CEBU Men's Farmer Steel Toe Cowboy 10"" Pull On Work Boots",Farmer,
Priority 3,Men,Bul 250 - Soft Toe,Bul 250,CEBU,,Soft Toe,Wedge Sole,Soft Toe,Yes,EVA HULADA,No,4,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,#REF!,Tk Farmer,#REF!,"CEBU Men's Guardax Soft Toe Versatile 10"" Pull On Work Boots",Tk Guardax,
Priority 4,Men,Bmx - Soft Toe,Bmx,CEBU,,Soft Toe,Versatile,Soft Toe,Yes,Polyurethane,No,4,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's Bmx Steel Toe Versatile 6"" Work Boots",Bmx,B092G1HHJM,"CEBU Men's Bul 250 Soft Toe Wedge Sole 6"" Work Boots",Bul 250,
Priority 4,Men,Bmx - Steel Toe,Bmx,CEBU,,Steel Toe,Versatile,Steel Toe,Yes,Polyurethane,No,4.5,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's Bmx Soft Toe Versatile 6"" Work Boots",Bmx,B00R0V0GEC,"CEBU Men's Bul 250 Soft Toe Wedge Sole 6"" Work Boots",Bul 250,
Priority 4,Men,BorceShark - Soft Toe,BorceShark,CEBU,,Soft Toe,Heavy Duty,Soft Toe,Yes,Polyurethane,Yes,4,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's BorceShark Steel Toe Versatile 6"" Work Boots",BorceShark,B08NV4PF8W,#N/A,BT Flex Shrk,
Priority 4,Men,BorceShark - Steel Toe,BorceShark,CEBU,,Steel Toe,Wedge Sole,Soft Toe,Yes,Polyurethane,Yes,4.5,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's BorceShark Soft Toe Versatile 6"" Work Boots",BorceShark,B088W5WLKN,#N/A,BT Flex Shrk,
Priority 4,Men,Botin - Composite Toe,Botin,CEBU,,Composite Toe,Non Slip,Slip On,Yes,Polyurethane,No,4.5,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Botin,B07GGM73DZ,"CEBU Men's BT Flex Steel Toe Lightweight 6"" Slip On Work Boots",BT Flex,B088W497Y3
Priority 4,Men,BrdShark - Soft Toe,BrdShark,CEBU,,Soft Toe,Versatile,Soft Toe,Yes,Polyurethane,No,4.5,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's BrdShark Steel Toe Versatile 10"" Pull On Work Boots",BrdShark,B071SDF8P5,"CEBU Men's Farmer Steel Toe Cowboy 10"" Pull On Work Boots",Farmer,
Priority 4,Men,Farmer - Soft Toe,Farmer,CEBU,,Soft Toe,Versatile,Steel Toe,Yes,Polyurethane,No,4.5,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's Farmer Steel Toe Cowboy 10"" Pull On Work Boots",Farmer,B088H1VL7D,"CEBU Men's BrdShark Steel Toe Versatile 10"" Pull On Work Boots",BrdShark,
Priority 4,Men,HL200 - Soft Toe,HL200,CEBU,,Soft Toe,Heavy Duty,Steel Toe,Yes,HULE,No,4,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's Bmx Soft Toe Versatile 6"" Work Boots",HL200,B00R0V0GEC,"CEBU Men's BrdShark Steel Toe Versatile 10"" Pull On Work Boots",BrdShark,
Priority 4,Men,Lacer 300 - Soft Toe,Lacer 300,CEBU,,Soft Toe,Versatile,Steel Toe,Yes,EVA HULADA,No,2.8,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's Bul 250 Soft Toe Wedge Sole 6"" Work Boots",Bul 250,,"CEBU Men's Tk Lacer Steel Toe Heavy Duty 8"" Work Boots",Tk Lacer,
Priority 4,Men,LacerMax - Soft Toe,LacerMax,CEBU,,Soft Toe,3-Layer Sole,Steel Toe,Yes,Polyurethane,No,4,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's Bmx Soft Toe Versatile 6"" Work Boots",Lacer 300,,"CEBU Men's Tk Lacer Steel Toe Heavy Duty 8"" Work Boots",Tk Lacer,
Priority 4,Men,Rul 500 - Steel Toe,Rul 500,CEBU,,Steel Toe,Heavy Duty,Heavy Duty,Yes,EVA HULADA,No,3.3,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's Tk Lacer Steel Toe Heavy Duty 8"" Work Boots",Tk Lacer,,"CEBU Men's Farmer Steel Toe Cowboy 10"" Pull On Work Boots",Farmer,
Priority 4,Men,Tk Borcegui - Soft Toe,Tk Borcegui,CEBU,,Soft Toe,Heavy Duty,Heavy Duty,Yes,HULE,No,4,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's Tk Lacer Steel Toe Heavy Duty 8"" Work Boots",Tk Lacer,,"CEBU Men's R Flex Soft Toe Elastic 10"" Pull On Work Boots",R Flex,
Priority 4,Men,Tk Borcegui - Steel Toe,Tk Borcegui,CEBU,,Steel Toe,Wedge Sole,Heavy Duty,Yes,HULE,No,4,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's Tk Lacer Steel Toe Heavy Duty 8"" Work Boots",Tk Lacer,,"CEBU Men's R Flex Soft Toe Elastic 10"" Pull On Work Boots",R Flex,
Priority 4,Men,Tk BorceShark - Soft Toe,Tk BorceShark,CEBU,,Soft Toe,Heavy Duty,Heavy Duty,Yes,HULE,No,4,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's Tk Lacer Steel Toe Heavy Duty 8"" Work Boots",Tk Lacer,,"CEBU Men's Guardax Soft Toe Versatile 10"" Pull On Work Boots",Tk Guardax,
Priority 4,Men,Tk Farmer - Soft Toe,Tk Farmer,CEBU,,Soft Toe,Wedge Sole,Heavy Duty,Yes,HULE,No,5,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's Tk Lacer Steel Toe Heavy Duty 8"" Work Boots",Tk Lacer,,"CEBU Men's Guardax Soft Toe Versatile 10"" Pull On Work Boots",Tk Guardax,
Priority 4,Men,Tonka - Soft Toe,Tonka,CEBU,,Soft Toe,Heavy Duty,Heavy Duty,Yes,HULE & EVA,No,3.3,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's Tk Lacer Steel Toe Heavy Duty 8"" Work Boots",Tk Lacer,,"CEBU Men's Thunder 300 Soft Toe Square Toe 10"" Pull On Work Boots",Thunder 300,
Priority 4,Men,Tonka - Steel Toe,Tonka,CEBU,,Steel Toe,Heavy Duty,Heavy Duty,Yes,HULE & EVA,No,3.6,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's Tk Lacer Steel Toe Heavy Duty 8"" Work Boots",Tk Lacer,,"CEBU Men's Thunder 300 Soft Toe Square Toe 10"" Pull On Work Boots",Thunder 300,
,Men,BT Flex - Soft Toe,BT Flex,CEBU,,Soft Toe,Versatile,Slip On,Yes,Rubber-like & PU,Yes,2.3,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's BT Flex Steel Toe Lightweight 6"" Slip On Work Boots",BT Flex,B088W497Y3,"CEBU Men's Thunder 300 Soft Toe Square Toe 10"" Pull On Work Boots",Botin,
,Men,BW - Soft Toe,BW,CEBU,,Soft Toe,Heavy Duty,Wedge Sole,Yes,Rubber-like & PU,Yes,4,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's Bmx Soft Toe Versatile 6"" Work Boots",Bmx,,"CEBU Men's Tk Borcegui Soft Toe Heavy Duty 6"" Work Boots",Tk Borcegui,
,Men,Max - Steel Toe,Max,CEBU,,Steel Toe,Non Slip,Soft Toe,Yes,Polyurethane,No,4.5,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's Comfort Soft Toe Wedge Sole 10"" Pull On Work Boots",Max,B0187VRPHY,"CEBU Men's Rul 500 Soft Toe Wedge Sole 10"" Pull On Work Boots",Rul 500,
